day_pt,invite_link,joins,interval_start_timestamp
2026-07-19T00:00:00+00:00,https://discord.gg/2u5kpFY,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/396Dvyh,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/A5NZtQ2,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/AqTNS8Q,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/CaSshnf6Ax,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/CasHFs63M,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/DM35kZMh4p,11,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/Eg8HcAjKf,3,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/EnNJn7W,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/FsgQWUK,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/HmuCWxJ,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/JMGGWBFzws,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/MsPj9d3uz,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/NWFRjxnVe,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/ScacFxD,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/UZDPf34,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/W99ShPy,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/WrZgCCT,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/YbSjMZcCw,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/c7aDe8Tvc,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/ddmvm3U,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/gFsY3DYdAp,9,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/heXupPXDBx,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/k9yE2UCCr4,2,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/m252bHD63R,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/ncEQ7Xhvy,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/pM447Nr6tA,5,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/pM5BcWvxsC,6,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/prVDvEW,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/pvgesUGgve,4,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/sYVpHPu,1,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,https://discord.gg/uNN7yhH3c,1,2026-07-19T00:00:00+00:00
